job_id,job_title,company,location,work_mode,job_category,date_posted,source_platform,skill,skill_group
REAL0001,Machine Learning Engineering Internship - Summer 2026,Viant Technology,"Irvine, CA",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,AWS,Technical/Tool
REAL0001,Machine Learning Engineering Internship - Summer 2026,Viant Technology,"Irvine, CA",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,Google Cloud,Technical/Tool
REAL0001,Machine Learning Engineering Internship - Summer 2026,Viant Technology,"Irvine, CA",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,NumPy,Technical/Tool
REAL0001,Machine Learning Engineering Internship - Summer 2026,Viant Technology,"Irvine, CA",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,PyTorch,Technical/Tool
REAL0001,Machine Learning Engineering Internship - Summer 2026,Viant Technology,"Irvine, CA",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,Python,Technical/Tool
REAL0001,Machine Learning Engineering Internship - Summer 2026,Viant Technology,"Irvine, CA",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,SQL,Technical/Tool
REAL0001,Machine Learning Engineering Internship - Summer 2026,Viant Technology,"Irvine, CA",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,TensorFlow,Technical/Tool
REAL0001,Machine Learning Engineering Internship - Summer 2026,Viant Technology,"Irvine, CA",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,machine learning,Technical/Tool
REAL0001,Machine Learning Engineering Internship - Summer 2026,Viant Technology,"Irvine, CA",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,pandas,Technical/Tool
REAL0001,Machine Learning Engineering Internship - Summer 2026,Viant Technology,"Irvine, CA",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,scikit-learn,Technical/Tool
REAL0001,Machine Learning Engineering Internship - Summer 2026,Viant Technology,"Irvine, CA",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,communication,Soft Skill
REAL0001,Machine Learning Engineering Internship - Summer 2026,Viant Technology,"Irvine, CA",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,teamwork,Soft Skill
REAL0002,Summer 2026 Intern - Undergrad User Research - Slack,Salesforce,"San Francisco, CA",Hybrid,Multimedia / UIUX Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,CRM,Technical/Tool
REAL0002,Summer 2026 Intern - Undergrad User Research - Slack,Salesforce,"San Francisco, CA",Hybrid,Multimedia / UIUX Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,statistics,Technical/Tool
REAL0002,Summer 2026 Intern - Undergrad User Research - Slack,Salesforce,"San Francisco, CA",Hybrid,Multimedia / UIUX Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,communication,Soft Skill
REAL0002,Summer 2026 Intern - Undergrad User Research - Slack,Salesforce,"San Francisco, CA",Hybrid,Multimedia / UIUX Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,teamwork,Soft Skill
REAL0003,Applied AI Engineer (Internship),Fortinet,"Santa Clara, CA",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,PostgreSQL,Technical/Tool
REAL0003,Applied AI Engineer (Internship),Fortinet,"Santa Clara, CA",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,Python,Technical/Tool
REAL0003,Applied AI Engineer (Internship),Fortinet,"Santa Clara, CA",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,cybersecurity,Technical/Tool
REAL0003,Applied AI Engineer (Internship),Fortinet,"Santa Clara, CA",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,communication,Soft Skill
REAL0003,Applied AI Engineer (Internship),Fortinet,"Santa Clara, CA",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,problem solving,Soft Skill
REAL0003,Applied AI Engineer (Internship),Fortinet,"Santa Clara, CA",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,stakeholder management,Soft Skill
REAL0003,Applied AI Engineer (Internship),Fortinet,"Santa Clara, CA",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,teamwork,Soft Skill
REAL0004,Summer 2026 Intern - Undergrad User Research - Slack,Slack,"San Francisco, CA",Not specified,Multimedia / UIUX Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,CRM,Technical/Tool
REAL0004,Summer 2026 Intern - Undergrad User Research - Slack,Slack,"San Francisco, CA",Not specified,Multimedia / UIUX Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,statistics,Technical/Tool
REAL0004,Summer 2026 Intern - Undergrad User Research - Slack,Slack,"San Francisco, CA",Not specified,Multimedia / UIUX Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,communication,Soft Skill
REAL0004,Summer 2026 Intern - Undergrad User Research - Slack,Slack,"San Francisco, CA",Not specified,Multimedia / UIUX Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,teamwork,Soft Skill
REAL0005,AI Engineer Intern,TRG,"Dallas, TX",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,JavaScript,Technical/Tool
REAL0005,AI Engineer Intern,TRG,"Dallas, TX",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,Python,Technical/Tool
REAL0005,AI Engineer Intern,TRG,"Dallas, TX",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,business process,Technical/Tool
REAL0005,AI Engineer Intern,TRG,"Dallas, TX",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,machine learning,Technical/Tool
REAL0005,AI Engineer Intern,TRG,"Dallas, TX",Hybrid,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,prototyping,Technical/Tool
REAL0006,AWS AI Research and Development Intern,Cooper Standard,"Northville, MI",Not specified,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,AWS,Technical/Tool
REAL0006,AWS AI Research and Development Intern,Cooper Standard,"Northville, MI",Not specified,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,JavaScript,Technical/Tool
REAL0006,AWS AI Research and Development Intern,Cooper Standard,"Northville, MI",Not specified,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,Node.js,Technical/Tool
REAL0006,AWS AI Research and Development Intern,Cooper Standard,"Northville, MI",Not specified,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,Python,Technical/Tool
REAL0006,AWS AI Research and Development Intern,Cooper Standard,"Northville, MI",Not specified,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,React,Technical/Tool
REAL0006,AWS AI Research and Development Intern,Cooper Standard,"Northville, MI",Not specified,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,troubleshooting,Technical/Tool
REAL0006,AWS AI Research and Development Intern,Cooper Standard,"Northville, MI",Not specified,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,communication,Soft Skill
REAL0006,AWS AI Research and Development Intern,Cooper Standard,"Northville, MI",Not specified,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,problem solving,Soft Skill
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,Azure,Technical/Tool
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,Excel,Technical/Tool
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,Power BI,Technical/Tool
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,Python,Technical/Tool
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,SQL,Technical/Tool
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,Tableau,Technical/Tool
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,business process,Technical/Tool
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,dashboard,Technical/Tool
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,data visualization,Technical/Tool
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,machine learning,Technical/Tool
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,prototyping,Technical/Tool
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,reporting,Technical/Tool
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,analytical thinking,Soft Skill
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,communication,Soft Skill
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,documentation,Soft Skill
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,presentation,Soft Skill
REAL0007,IT Data & AI Intern (Paid Internship),Cornerstone Capital Bank,"Houston, TX",On-site,AI / Machine Learning Intern,Not provided by source,Hugging Face - Tech Job Postings Dataset 2026,stakeholder management,Soft Skill
