term,tfidf_score
data,0.049818211600712564
prepare,0.047624695322626864
support,0.045626698328702794
document,0.04400904275395088
sql,0.040315073710309214
build,0.03872076101408657
create,0.0369813167141138
analyze,0.0351059042305107
python,0.03451348495024921
write,0.03264792685665921
dashboard,0.032505524180428576
product,0.03245391768469907
use,0.030925349567696655
clean,0.029832434336256614
model,0.02927625774037017
reports,0.02856288000979433
dashboards,0.027544752405847008
insights,0.026141934004337675
learning,0.024903932101106082
excel,0.02486429602641916
models,0.023864652534025175
review,0.023462204345669712
assist,0.023216413795422938
scripts,0.023147016287724937
requirements,0.022993771219717
